0: vertex_id[2785] = { stop( Kiyevskoye sh 70 ), bus( 59), pos( 7 ) }
1: vertex_id[2613] = { stop( Kiyevskoye sh 70 ), bus( 45k), pos( 4 ) }
2: vertex_id[2253] = { stop( Kiyevskoye sh 70 ), bus( 33k), pos( 5 ) }
3: vertex_id[382] = { stop( Kiyevskoye sh 70 ), bus( 77k), pos( 1 ) }
4: vertex_id[2914] = { stop( Kiyevskoye sh 70 ), bus( 53k), pos( 3 ) }
5: vertex_id[464] = { stop( Kiyevskoye sh 70 ), bus( 75k), pos( 4 ) }
6: vertex_id[511] = { stop( Kiyevskoye sh 70 ), bus( 91), pos( 4 ) }
7: vertex_id[696] = { stop( Kiyevskoye sh 70 ), bus( 63), pos( 5 ) }
8: vertex_id[1885] = { stop( Kiyevskoye sh 70 ), bus( 83k), pos( 2 ) }
9: vertex_id[1335] = { stop( Kiyevskoye sh 70 ), bus( 1), pos( 3 ) }
10: vertex_id[1548] = { stop( Kiyevskoye sh 70 ), bus( 41), pos( 4 ) }
11: vertex_id[1199] = { stop( Kiyevskoye sh 70 ), bus( 3k), pos( 7 ) }
12: vertex_id[1685] = { stop( Kiyevskoye sh 70 ), bus( 17), pos( 6 ) }
13: vertex_id[1871] = { stop( Kiyevskoye sh 70 ), bus( 5k), pos( 1 ) }
14: vertex_id[1454] = { stop( Kiyevskoye sh 70 ), bus( 31k), pos( 5 ) }
15: vertex_id[1963] = { stop( Kiyevskoye sh 70 ), bus( 7k), pos( 4 ) }
16: vertex_id[2221] = { stop( Kiyevskoye sh 70 ), bus( 11), pos( 3 ) }
17: vertex_id[2157] = { stop( Kiyevskoye sh 70 ), bus( 9k), pos( 7 ) }
18: vertex_id[2838] = { stop( Mezhdunarodnoye sh 70 ), bus( 55k), pos( 13 ) }
19: vertex_id[2649] = { stop( Mezhdunarodnoye sh 70 ), bus( 45k), pos( 40 ) }
20: vertex_id[2606] = { stop( Mezhdunarodnoye sh 70 ), bus( 15), pos( 23 ) }
21: vertex_id[2510] = { stop( Mezhdunarodnoye sh 70 ), bus( 37k), pos( 40 ) }
22: vertex_id[2367] = { stop( Mezhdunarodnoye sh 70 ), bus( 13), pos( 30 ) }
23: vertex_id[2283] = { stop( Mezhdunarodnoye sh 70 ), bus( 33k), pos( 35 ) }
24: vertex_id[2941] = { stop( Mezhdunarodnoye sh 70 ), bus( 53k), pos( 30 ) }
25: vertex_id[340] = { stop( Mezhdunarodnoye sh 70 ), bus( 95), pos( 45 ) }
26: vertex_id[503] = { stop( Mezhdunarodnoye sh 70 ), bus( 75k), pos( 43 ) }
27: vertex_id[458] = { stop( Mezhdunarodnoye sh 70 ), bus( 79), pos( 12 ) }
28: vertex_id[1996] = { stop( Mezhdunarodnoye sh 70 ), bus( 7k), pos( 37 ) }
29: vertex_id[540] = { stop( Mezhdunarodnoye sh 70 ), bus( 91), pos( 33 ) }
30: vertex_id[735] = { stop( Mezhdunarodnoye sh 70 ), bus( 63), pos( 44 ) }
31: vertex_id[1624] = { stop( Mezhdunarodnoye sh 70 ), bus( 23k), pos( 34 ) }
32: vertex_id[686] = { stop( Mezhdunarodnoye sh 70 ), bus( 65k), pos( 43 ) }
33: vertex_id[1585] = { stop( Mezhdunarodnoye sh 70 ), bus( 41), pos( 41 ) }
34: vertex_id[1716] = { stop( Mezhdunarodnoye sh 70 ), bus( 17), pos( 37 ) }
35: vertex_id[1866] = { stop( Mezhdunarodnoye sh 70 ), bus( 61k), pos( 30 ) }
36: vertex_id[3001] = { stop( Mezhdunarodnoye sh 70 ), bus( 57k), pos( 35 ) }
37: vertex_id[2245] = { stop( Mezhdunarodnoye sh 70 ), bus( 11), pos( 27 ) }
38: vertex_id[2196] = { stop( Mezhdunarodnoye sh 70 ), bus( 9k), pos( 46 ) }
39: vertex_id[2999] = { stop( Mezhdunarodnoye sh 50 ), bus( 57k), pos( 33 ) }
40: vertex_id[2822] = { stop( Mezhdunarodnoye sh 50 ), bus( 59), pos( 44 ) }
41: vertex_id[338] = { stop( Mezhdunarodnoye sh 50 ), bus( 95), pos( 43 ) }
42: vertex_id[501] = { stop( Mezhdunarodnoye sh 50 ), bus( 75k), pos( 41 ) }
43: vertex_id[1623] = { stop( Mezhdunarodnoye sh 50 ), bus( 23k), pos( 33 ) }
44: vertex_id[684] = { stop( Mezhdunarodnoye sh 50 ), bus( 65k), pos( 41 ) }
45: vertex_id[1326] = { stop( Mezhdunarodnoye sh 50 ), bus( 39k), pos( 33 ) }
46: vertex_id[1489] = { stop( Mezhdunarodnoye sh 50 ), bus( 31k), pos( 40 ) }
47: vertex_id[1584] = { stop( Mezhdunarodnoye sh 50 ), bus( 41), pos( 40 ) }
48: vertex_id[2647] = { stop( Mezhdunarodnoye sh 50 ), bus( 45k), pos( 38 ) }
49: vertex_id[2365] = { stop( Mezhdunarodnoye sh 50 ), bus( 13), pos( 28 ) }
50: vertex_id[1236] = { stop( Mezhdunarodnoye sh 50 ), bus( 3k), pos( 44 ) }
